video_annotation_label_id,label_id,label_name,label_hierarchy,user_id,firstname,lastname,video_id,video_filename,shape_id,shape_name,points,frames,annotation_id,created_at,attributes
31224,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[529.15,705.37]]",[1012.45624],31233,"2025-02-19 13:12:46","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31225,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[537.86,590.87]]",[1004.129216],31234,"2025-02-19 13:13:17","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31226,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1584.51,550.02]]",[1014.592393],31235,"2025-02-19 13:14:46","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31227,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[917.54,889.53]]",[1006.10023],31236,"2025-02-19 13:15:32","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31228,362,near-vertical,"Slope category > near-vertical",1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[1020.139681],31237,"2025-02-19 13:16:10","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31229,465,"Bedrock with sediment cover","Substrate > Bedrock with sediment cover",1,Birte,Schuppe,55,anevik_1_11.mp4,7,WholeFrame,[],[1020.139681],31238,"2025-02-19 13:16:19","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31230,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[774.24,794.44]]",[1020.139681],31239,"2025-02-19 13:16:26","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31231,322,"Laser points","Laser points",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[791.65,775.69]]",[1020.139681],31240,"2025-02-19 13:16:28","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31232,398,"Asteroidea stet.","Fauna > Asteroidea stet.",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1617.99,739.53]]",[1021.798575],31241,"2025-02-19 13:37:50","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31233,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1476.7,871.45]]",[1028.176521],31242,"2025-02-19 13:38:25","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31234,714,"VME Porifera fan/stalk/cup/funnel <10 cm","VME sponge > VME Porifera fan/stalk/cup/funnel <10 cm",1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1581.83,860.73]]",[1028.176521],31243,"2025-02-19 13:38:27","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31235,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1261.74,764.3]]",[1022.475885],31244,"2025-02-19 13:38:57","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31236,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1417.77,758.28]]",[1022.475885],31245,"2025-02-19 13:38:58","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
31237,364,Fauna,Fauna,1,Birte,Schuppe,55,anevik_1_11.mp4,1,Point,"[[1183.39,748.23]]",[1022.475885],31246,"2025-02-19 13:38:59","{""mimetype"":""video\/mp4"",""size"":2298656820,""width"":1920,""height"":1080}"
